GPT3.5;GPT4;Claude AI;IC GPT3.5  same API;IC GPT3.5 GPT3.5;IC Claude GPT3.5;Multi-Agent
3;3,8;3,2;4,7;4,2;4,7;4,5
3,6;3,8;3,2;3,6;4,3;4,7;4,7
4,5;3,8;3,2;4,3;4,7;4,7;4,7
4,5;3,2;3,8;4,7;4,7;4,8;4,7
3,8;3,2;3,8;3,8;4,7;4,7;4,5
3,2;3,2;3,8;4,7;4,7;4,7;4,7
3,8;3,6;3,8;4,8;5;4,7;3,8
3,8;3,8;3,8;4,7;5;4,7;4,5
3,6;3,8;4,3;4,7;5;4,7;4,7
3,8;3,2;3,8;4,8;5;5;3,8
3,8;3,8;3,2;4,7;3,6;5;3,8
3,2;3;3,8;4,8;4,7;4,7;4,7
3,7;3,8;3,8;4,7;4,7;4,7;4,7
3,4;3,8;3;4,7;4,5;5;4,5
3,7;3;3,2;4,8;4,7;4,8;4,7
3,4;4,2;4,5;4,7;4,7;5;4,5
3,8;3;3,8;4,2;4,7;4,8;4,7
3,8;3,8;3,2;4,8;4,7;4,8;3,2
3,8;3,8;3,8;4,8;4,8;4,8;4,5
3;3,8;4,5;4,7;4,8;4,7;4,7
3,4;3,8;3,8;4,7;4,7;4,8;4,5
3;3,8;3,6;4,7;4,7;4,7;4,7
3;4,3;3,8;4,7;5;4,7;4,7
3,4;3,8;3,8;4,7;4,7;4,7;4,7
3,6;3,8;3,8;4,8;4,7;4,7;4,7
3,8;3,4;4,5;4,7;4,7;3,8;4,7
3,7;3,8;3,6;3,8;4,3;4,7;3,8
4,3;3,8;3,8;4,7;3,8;4,7;3,8
3;3,8;3,2;4,7;4,7;4,8;4,7
3,8;3,8;3,8;4,7;4,7;4,7;4,7
3,7;4,3;3,8;4,7;4,8;;
3,8;3;3,2;4,7;3,9;;
3,8;3,2;3,8;4,8;4,7;;
3,8;3,8;3,8;4,8;5;;
3,8;3,8;3,8;4,7;4,8;;
4,7;3,8;3,8;4,7;4,7;;
3,8;3,8;3,2;4,8;5;;
3;4,5;3,8;4,5;5;;
3,8;3,6;3,8;4,7;3,8;;
3,8;3,4;3,2;4,7;4,7;;
3;4,5;3,4;5;4,8;;
3,6;3,8;3,8;5;4,7;;
3;3;3,8;4,7;4,7;;
3,8;3,8;3,8;4,7;4,7;;
4,5;3,8;3,8;4,2;4,8;;
3,8;3,8;3,8;4,7;4,3;;
3,4;3,8;3,8;4,7;4,7;;
3;3,8;3,2;4,7;4,8;;
3,7;3,8;3,8;3,8;3,8;;
4,7;3,8;3;4,7;4,7;;
3,8;3,2;3,8;4,7;4,8;;
3,8;3;3,8;4,7;4,7;;
3;3,8;3,8;4,7;4,7;;
3,2;3,8;4,5;4,7;3,8;;
3,8;4,5;3,8;4,7;5;;
3,7;3,8;3,8;4,7;4,7;;
3;3,4;3,8;4,7;4,7;;
3,2;3,6;3,8;4,7;4,7;;
3,7;3,8;3,8;4,7;4,7;;
3,6;3,8;3,8;4,8;4,7;;
3,8;3,8;3,8;4,7;4,8;;
3,8;3,8;3,2;4,7;3,8;;
3,8;3,4;3,8;3,2;4,7;;
3,8;3,8;3,8;3,9;4,7;;
3,8;3,8;3,8;3,9;4,7;;
3;3,2;3,8;4,7;5;;
3,6;3,8;3,8;4,7;4,7;;
4,5;3,8;3,8;4,7;3,6;;
3,4;3,8;3,8;3,8;4,7;;
3,8;3,8;3,2;4,3;4,7;;
3,4;3,7;3,2;4,7;4,7;;
3,4;3,7;3;4,8;4,7;;
3,4;3,4;3,8;4,7;4,8;;
3,8;3,8;3,8;4,8;4,8;;
3,2;3,6;3,8;4,8;4,7;;
3,2;3,6;3,8;4,7;4,7;;
3,8;3,8;3,8;4,8;4,7;;
3,7;3,6;3,8;3,9;4,3;;
3,2;4,5;3,8;4,7;4,7;;
3,8;3,8;3,8;4,7;3,8;;
3,8;3,4;3,8;4,8;4,7;;
3,8;3,8;3,8;4,7;4,7;;
3,8;4,3;3,8;5;4,7;;
3,4;4,5;3,8;4,7;4,7;;
3;3,4;3;4,7;4,7;;
3,8;3;3,6;4,7;4,7;;
3,7;3,8;3,4;3,8;5;;
3,2;3,8;3,8;4,7;4,7;;
3,8;3,4;3,8;4,7;4,7;;
3,8;3,8;3,8;4,7;4,8;;
3,8;3,8;3,8;4,7;5;;
3,8;3,8;3,8;4,7;5;;
3,8;3;3,8;3,8;3,8;;
3;3,7;3,8;4,3;4,7;;
3,7;3,8;3,8;4,8;5;;
3,4;3,8;3,2;3,8;4,7;;
3,8;3,8;3,6;3,8;4,8;;
3;3,8;3,8;4,7;4,7;;
3,8;3,4;3,8;4,8;4,8;;
3,8;4,5;3,2;3,9;4,7;;
