GPT3.5; GPT4;Claude AI;IC(GPT3.5/sameAPI);IC(GPT3.5/differentAPI);IC(Claude/GPT3.5);Multi-Agent
71,77;82,86;85,03;71,98;88,1;86,06;81,11
73,18;86,6;84,79;81,97;86,01;83,32;74,05
75,55;83,08;80,3;88,31;82,79;86,8;77,55
75,53;82,76;75,37;85,06;85,27;73,24;76,1
68,07;90,58;82,56;78,36;83,88;88,81;75,71
70,77;83,64;81,4;88,14;89,63;89,64;74,21
77,88;77,33;78,24;88,8;85,47;83,89;77,9
72,15;86,69;88,45;82,58;85,58;88,34;75,79
76,17;75,4;81,61;87,38;85,82;83,45;75,93
76,68;81,51;88,77;79,36;78,49;87,06;92,44
73,62;91,85;76,56;80,98;85,4;88,38;86,1
74,84;91,14;83,16;82,75;90,12;77,28;80,61
69,7;79,75;70,72;82,19;79,52;87,35;75,71
73,14;88,1;79,05;86,62;85,33;85,93;74,21
76,36;86,05;70,01;83,15;85,52;84,27;77,9
68,16;88,21;68,88;88,43;85,7;86,06;75,79
81,85;75,65;81,76;83,27;83,66;87,25;79,91
78,21;91,79;83,64;88,23;82,37;84,15;94,3
78,55;86,04;71,27;82,87;84,39;85,77;75,87
73,78;87,59;69,37;87;84,27;91,92;80,82
74;87,1;79,62;85,48;80,81;82,2;86,1
79,2;75,37;84,65;84,47;80,52;88,72;76,68
72,78;84,96;86,95;87,01;81,53;84,62;80,61
75,93;83,6;81,03;77,45;86,22;85,9;76,86
71,66;89,78;79,69;83,28;83,22;88,59;79,66
68,79;85,36;86,87;85,45;86,84;88,45;78,63
70,08;90,87;77,79;78,58;82,6;91,36;74,11
67,88;85,12;89,12;85,11;85,38;86,08;70,75
77,9;89,9;70,72;86,62;82,13;84,11;78,42
73,33;73,17;85,22;81,13;88,25;82,82;77,02
73,93;93,4;70,57;83,76;85,28;83,95;
65,94;82,71;83,7;82,36;85,23;84,2;
74,38;84,12;88,09;82,37;84,85;89,04;
76,17;85,61;85,24;84,17;81,62;93,23;
72,53;85,95;73,5;86,26;91,48;83,5;
76,51;85,88;83,25;89,2;87,7;88,88;
79,74;76,28;81,69;86,62;86,59;83,02;
76,71;89,22;84,12;87,95;87,01;86,49;
69,82;83,44;79,37;87,24;83,54;91,37;
70,46;84,79;82,91;84,35;72,88;89,23;
75,58;88,33;87,26;84,35;86,97;86,16;
77,52;83,66;81,96;80,27;84,39;87,43;
75,03;81,64;88,46;89,34;78,77;84,73;
79,98;82,09;81,44;82,11;87,55;80,69;
74,45;84,14;83,81;85,36;84,39;90,04;
85,28;87,48;89,25;87,46;80,3;84,37;
78,55;83,52;84,23;90,78;85,61;89,26;
75,34;83,17;84,45;84,52;86,49;86,88;
71,85;84,13;80,16;84,91;89,72;87,84;
72,53;77,32;78;77,32;82,89;85,55;
75,22;89,52;89,11;93,75;84,37;85,4;
73,24;88,93;86,33;80,57;83,33;85,19;
76,3;80,34;86,39;88,23;81,74;87,15;
77,06;84,11;83,1;89,63;88,06;87,21;
73,06;80,95;86,08;86,23;83,3;86,33;
76,79;75,13;81,69;79,24;80,94;87,65;
74,08;76,66;79;87,42;85,97;82,96;
76,27;86,58;85,3;84,64;87;84,08;
65,66;92,23;79,26;86,43;83,39;89,55;
76,2;83,7;70,04;78,9;82,54;85,87;
75,88;91,49;70,67;88;82,24;85,42;
71,13;89,95;81,78;83,54;88,31;87,03;
71,72;87,69;81,13;93,43;85,31;79,58;
74,95;82,61;84,9;88,36;83,4;80,36;
79,06;84,24;72,94;84,03;81,99;83,98;
70,81;91,12;82,45;84,62;83,21;94,13;
72,96;83,45;87,71;79,28;77,73;90,76;
77,83;89,41;81,47;83,48;81,97;88,88;
76,04;83,02;80,79;79,63;85,44;77,19;
70,08;85,98;84,03;85,57;87,94;85,76;
80,23;77,66;85,22;86,69;85,71;83,89;
70,64;71,57;79,67;84,38;79,28;85,01;
73,57;89,8;80,53;80,55;89,48;92,57;
79,12;91,34;82,21;84,02;83,5;88,12;
72,78;79,45;84,36;82,45;88,7;91,42;
77,49;87,93;78,3;87,92;80,67;91,38;
78,99;83,05;81,11;79,73;86,31;85,64;
77,18;83,47;78,92;86,25;84,39;88,25;
80,81;85,48;85,61;80,55;90,43;91,08;
69,99;86,28;82,8;77,7;77,33;86,7;
76,92;86,59;88,94;90,62;88,66;85,68;
75,82;84,52;84,72;86,14;84,97;86,94;
74,53;82,48;74,95;84,32;86,36;87,47;
71,43;87,33;72,59;77,65;86,51;89,26;
74,22;81,82;81,43;83,45;76,77;78,22;
76,73;77,43;91,56;82,24;79,17;81,9;
72,1;87,61;76,08;81,05;88,74;93,28;
71,5;83,76;83,79;76,59;91,98;81,53;
77,6;87,97;74,49;90,06;85,3;81,69;
76,28;84,13;90,19;81,26;80,87;86,61;
72,06;92,68;79,32;84,26;82,15;87,98;
80,71;85,19;67,08;86,19;86,05;90,89;
79,98;82,99;73,23;85,95;85,18;88,75;
78,08;79,35;82,19;90,12;86,37;88,49;
76,76;88,25;83,16;82,44;90,21;89,61;
71,19;81,87;84,38;86,98;81,85;91,99;
71,58;89,17;79,88;83,75;81,06;87,72;
79,31;82,27;83,88;85,33;84,39;86,24;
75,09;86,32;83,02;79,07;79,34;86,23;
73,71;87,91;82,76;90;80,57;91,87;
