Model;Rater1;Rater2;Rater3;Rater4
AI;7;5;6;5
AI;8;9;7;7
AI;7;3;5;3
AI;6;4;5;4
AI;7;9;7;6
AI;6;5;5;5
AI;7;2;4;5
AI;9;8;10;6
AI;7;2;4;3
AI;5;5;4;5
AI;8;8;6;6
AI;8;7;7;5
AI;6;6;5;4
AI;7;5;7;4
AI;5;3;4;3
AI;6;7;5;4
AI;6;5;4;4
AI;7;4;6;4
AI;4;4;4;3
AI;6;5;5;3
AI;5;8;7;7
AI;6;7;6;4
AI;7;2;4;3
AI;6;5;4;5
AI;7;8;6;4
AI;6;5;3;3
AI;7;5;3;2
AI;8;7;5;4
AI;5;6;2;2
AI;8;8;6;4
Human;7;6;7;5
Human;3;3;5;7
Human;5;4;3;3
Human;2;2;3;6
Human;6;6;4;5
Human;4;2;1;1
Human;4;8;9;8
Human;5;4;4;8
Human;5;4;2;1
Human;3;6;5;6
Human;2;7;1;8
Human;2;2;2;3
Human;2;3;1;1
Human;2;2;2;1
Human;2;3;2;3
Human;3;3;1;2
Human;4;8;7;8
Human;2;3;1;1
Human;6;5;3;4
Human;2;6;4;6
Human;4;8;6;8
Human;4;3;5;7
Human;2;10;9;8
Human;3;2;1;1
Human;2;4;1;1
Human;2;3;1;3
Human;6;10;7;9
Human;10;9;8;9
Human;2;6;2;4
Human;8;9;8;10
